example_id,producto_id,retailer_id,categoria_id,product_country,synthetic,precio_usd_final,precio_median_group,imputation_source,decision,is_price_imputed_model
1717,494,3,13,BR,True,1.7419,,original_clean,keep,False
1465,397,1,1,UNKNOWN,True,1.0,,original_clean,keep_imputed,False
1466,401,3,6,BR,True,2.0173,,original_clean,keep_imputed,False
1467,401,3,6,BR,True,2.0173,,original_clean,keep_imputed,False
1468,401,3,6,BR,True,2.0173,,original_clean,keep_imputed,False
1469,401,3,6,BR,True,2.0173,,original_clean,keep_imputed,False
1470,402,3,6,BR,True,2.109,,original_clean,keep_imputed,False
1471,402,3,6,BR,True,2.109,,original_clean,keep_imputed,False
1472,402,3,6,BR,True,2.109,,original_clean,keep_imputed,False
1473,402,3,6,BR,True,2.109,,original_clean,keep_imputed,False
1474,404,1,15,UNKNOWN,True,1.45,,original_clean,keep,False
1475,404,1,15,UNKNOWN,True,1.45,,original_clean,keep,False
1476,404,1,15,UNKNOWN,True,1.45,,original_clean,keep,False
1477,404,1,15,UNKNOWN,True,1.45,,original_clean,keep,False
1478,406,1,14,UNKNOWN,True,5.59,,original_clean,keep,False
1479,406,1,14,UNKNOWN,True,5.59,,original_clean,keep,False
1480,406,1,14,UNKNOWN,True,5.59,,original_clean,keep,False
1481,406,1,14,UNKNOWN,True,5.59,,original_clean,keep,False
1482,407,1,14,UNKNOWN,True,6.89,,original_clean,keep,False
1483,407,1,14,UNKNOWN,True,6.89,,original_clean,keep,False
1484,407,1,14,UNKNOWN,True,6.89,,original_clean,keep,False
1485,407,1,14,UNKNOWN,True,6.89,,original_clean,keep,False
1486,408,1,14,UNKNOWN,True,5.95,,original_clean,keep,False
1487,408,1,14,UNKNOWN,True,5.95,,original_clean,keep,False
1488,408,1,14,UNKNOWN,True,5.95,,original_clean,keep,False
1489,408,1,14,UNKNOWN,True,5.95,,original_clean,keep,False
1490,410,1,16,UNKNOWN,True,2.59,,original_clean,keep,False
1491,410,1,16,UNKNOWN,True,2.59,,original_clean,keep,False
1492,410,1,16,UNKNOWN,True,2.59,,original_clean,keep,False
1493,410,1,16,UNKNOWN,True,2.59,,original_clean,keep,False
1494,412,1,15,UNKNOWN,True,2.39,,original_clean,keep,False
1495,412,1,15,UNKNOWN,True,2.39,,original_clean,keep,False
1496,412,1,15,UNKNOWN,True,2.39,,original_clean,keep,False
1497,412,1,15,UNKNOWN,True,2.39,,original_clean,keep,False
1498,413,1,15,UNKNOWN,True,2.49,,original_clean,keep,False
1499,413,1,15,UNKNOWN,True,2.49,,original_clean,keep,False
1500,413,1,15,UNKNOWN,True,2.49,,original_clean,keep,False
1501,413,1,15,UNKNOWN,True,2.49,,original_clean,keep,False
1502,414,1,15,UNKNOWN,True,2.99,,original_clean,keep,False
1503,414,1,15,UNKNOWN,True,2.99,,original_clean,keep,False
1504,414,1,15,UNKNOWN,True,2.99,,original_clean,keep,False
1505,414,1,15,UNKNOWN,True,2.99,,original_clean,keep,False
1506,416,1,18,UNKNOWN,True,4.19,,original_clean,keep_imputed,False
1507,416,1,18,UNKNOWN,True,4.19,,original_clean,keep_imputed,False
1508,416,1,18,UNKNOWN,True,4.19,,original_clean,keep_imputed,False
1509,416,1,18,UNKNOWN,True,4.19,,original_clean,keep_imputed,False
1510,417,1,18,UNKNOWN,True,3.99,,original_clean,keep_imputed,False
1511,417,1,18,UNKNOWN,True,3.99,,original_clean,keep_imputed,False
1512,417,1,18,UNKNOWN,True,3.99,,original_clean,keep_imputed,False
1513,417,1,18,UNKNOWN,True,3.99,,original_clean,keep_imputed,False
1514,418,1,18,UNKNOWN,True,5.89,,original_clean,keep_imputed,False
1515,418,1,18,UNKNOWN,True,5.89,,original_clean,keep_imputed,False
1516,418,1,18,UNKNOWN,True,5.89,,original_clean,keep_imputed,False
1517,418,1,18,UNKNOWN,True,5.89,,original_clean,keep_imputed,False
1518,419,1,16,UNKNOWN,True,8.78,,original_clean,keep,False
1519,419,1,16,UNKNOWN,True,8.78,,original_clean,keep,False
1520,419,1,16,UNKNOWN,True,8.78,,original_clean,keep,False
1521,419,1,16,UNKNOWN,True,8.78,,original_clean,keep,False
1522,420,1,32,UNKNOWN,True,8.78,,original_clean,keep,False
1523,420,1,32,UNKNOWN,True,8.78,,original_clean,keep,False
1524,420,1,32,UNKNOWN,True,8.78,,original_clean,keep,False
1525,420,1,32,UNKNOWN,True,8.78,,original_clean,keep,False
1526,421,1,16,UNKNOWN,True,5.75,,original_clean,keep,False
1527,421,1,16,UNKNOWN,True,5.75,,original_clean,keep,False
1528,421,1,16,UNKNOWN,True,5.75,,original_clean,keep,False
1529,421,1,16,UNKNOWN,True,5.75,,original_clean,keep,False
1530,422,1,16,UNKNOWN,True,8.98,,original_clean,keep,False
1531,422,1,16,UNKNOWN,True,8.98,,original_clean,keep,False
1532,422,1,16,UNKNOWN,True,8.98,,original_clean,keep,False
1533,422,1,16,UNKNOWN,True,8.98,,original_clean,keep,False
1534,423,1,17,UNKNOWN,True,1.11,,original_clean,keep,False
1535,423,1,17,UNKNOWN,True,1.11,,original_clean,keep,False
1536,423,1,17,UNKNOWN,True,1.11,,original_clean,keep,False
