producto_id,retailer_id,retailer,retailer_country,categoria_id,category_raw,category_canonical,category_is_imputed,nombre_producto,marca,unidad,product_country,moneda_local,precio_local,precio_usd,precio_usd_clean,fx_local_per_usd,is_imputed_clean,decision,razon_clean,precio_median_group,precio_usd_imputed,imputation_source
51,3,Desconocido,BR,9,frijoles,frijoles,False,Alimentos básicos,Frijoles,1 Kg,BR,LOCAL,5.29,0.971,,5.448,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.2647,1.2647,median_category_country
52,3,Desconocido,BR,9,frijoles,frijoles,False,Alimentos básicos,Frijoles,1Kg,BR,LOCAL,4.49,0.8242,,5.448,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.2647,1.2647,median_category_country
56,1,Desconocido,UNKNOWN,12,cebolla,cebolla,False,ARROZ DIANA 500 G,Unidades disponibles,500 G,UNKNOWN,LOCAL,500.0,500.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.69,1.69,median_category_country
57,1,Desconocido,UNKNOWN,13,azucar,azucar,False,ARROZ ESTÁNDAR ALBAR 500 GRS,Unidades disponibles,500 g,UNKNOWN,LOCAL,500.0,500.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],2.77,2.77,median_category_country
65,2,Chedraui,MX,10,arroz,arroz,False,Arroz SOS Super Extra Rojo 900g,SOS,900g,MX,LOCAL,20.4,1.0956,1.0956,18.62,True,keep_imputed,price_parse_failed;price<=0,1.0956,1.0956,median_category_country
66,2,Chedraui,MX,10,arroz,arroz,False,Arroz Super Extra Chedraui 900g,Chedraui,900g,MX,LOCAL,20.4,1.0956,1.0956,18.62,True,keep_imputed,price_parse_failed;price<=0,1.0956,1.0956,median_category_country
67,2,Chedraui,MX,10,arroz,arroz,False,Arroz Verde Valle Super Extra 900g,Verde Valle,900g,MX,LOCAL,20.4,1.0956,1.0956,18.62,True,keep_imputed,price_parse_failed;price<=0,1.0956,1.0956,median_category_country
68,5,Desconocido,CO,2,cafe,sin_categoria,True,Asesoramos tu compra WEB: 📞(601) 6672004 -,"Otras Ciudades clic aquí,",NaN,CO,LOCAL,25.0,0.0062,,4047.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],,2.885,global_median
69,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,NaN,CO,LOCAL,9.6,0.0024,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
70,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,500gr,CO,LOCAL,1.69,0.0004,,4047.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],,2.885,global_median
71,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,480G,CO,LOCAL,8.19,0.002,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
72,5,Desconocido,CO,15,pan,pan,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,750 g,CO,LOCAL,7.63,0.0019,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
73,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,460 g,CO,LOCAL,10.55,0.0026,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
74,5,Desconocido,CO,2,cafe,sin_categoria,True,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,550 g,CO,LOCAL,6.89,0.0017,,4047.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],,2.885,global_median
75,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,1000 gr,CO,LOCAL,19.49,0.0048,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
76,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,500 gr,CO,LOCAL,1.84,0.0005,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
77,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,200 gr,CO,LOCAL,11.98,0.003,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
78,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,1000gr,CO,LOCAL,17.99,0.0044,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
79,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,2500gr,CO,LOCAL,4.99,0.0012,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
80,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,70g,CO,LOCAL,70.0,0.0173,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
81,5,Desconocido,CO,14,cafe,cafe,False,"ASESORAMOS TU COMPRA: 📞(601) 6672004, lun a sab de 7am.a 7pm dom hasta las 6pm",otras ciudades consulta aquí,5kg,CO,LOCAL,10.89,0.0027,,4047.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],,2.885,global_median
82,1,Desconocido,UNKNOWN,17,leche,leche,False,AZÚCAR BLANCA 1000 GRS,Unidades disponibles,1000 g,UNKNOWN,LOCAL,1000.0,1000.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.11,1.11,median_category_country
84,1,Desconocido,UNKNOWN,14,cafe,cafe,False,AZÚCAR MORENA 1000 GRS,Unidades disponibles,1000 g,UNKNOWN,LOCAL,1000.0,1000.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],6.2,6.2,median_category_country
85,3,Desconocido,BR,13,azucar,azucar,False,Azúcar y Adoçante,Azúcar,1kg,BR,LOCAL,3.99,0.7324,,5.448,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.8061500000000001,1.8061500000000001,median_category_country
87,3,Desconocido,BR,13,azucar,azucar,False,Azúcar y Adoçante,Azúcar,500g,BR,LOCAL,4.99,0.9159,,5.448,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.8061500000000001,1.8061500000000001,median_category_country
89,2,Chedraui,MX,13,azucar,azucar,False,Azúcar Zulka Glass 500g,Zulka,500g,MX,LOCAL,42.75,2.296,2.296,18.62,True,keep_imputed,price_parse_failed;price<=0,2.29595,2.296,median_category_country
91,1,Desconocido,UNKNOWN,6,papa,sin_categoria,True,Bebidas Sin Alcohol,Gaseosas,2.25 L,UNKNOWN,LOCAL,1265.6,1265.6,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
