source_id,product_name,brand,unit,country,seller,category_effective,category_is_imputed,category_canonical,category_canonical_imputed,price_amount_filled,price_amount_usd_filled,price_is_imputed,price_imputation_source,fx_rate_local_per_usd,fx_source,decision_imputed,reasons,txt_path,html_path
769,(Ml a $ 5),$ 4.900,,UNKNOWN,Desconocido,aceite vegetal,True,sin_categoria,aceite vegetal,5.0,5.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/769.txt,dataset/paginas_descargadas/769.html
768,(Ml a $ 6),$ 40.800,1100ml,UNKNOWN,Desconocido,aceite vegetal,True,sin_categoria,aceite vegetal,6.0,6.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/768.txt,dataset/paginas_descargadas/768.html
775,(Und a $ 1.312),20,,UNKNOWN,Desconocido,azucar,True,sin_categoria,azucar,1.31,1.31,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/775.txt,dataset/paginas_descargadas/775.html
644,(Und a $ 1.540),$ 1.540,,UNKNOWN,Desconocido,leche,True,sin_categoria,leche,1.54,1.54,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/644.txt,dataset/paginas_descargadas/644.html
639,(Und a $ 544),20,,UNKNOWN,Desconocido,azucar,True,sin_categoria,azucar,544.0,544.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/639.txt,dataset/paginas_descargadas/639.html
774,(Und a $ 544),20,,UNKNOWN,Desconocido,azucar,True,sin_categoria,azucar,544.0,544.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/774.txt,dataset/paginas_descargadas/774.html
615,(Und a $ 750),$ 24.500,,UNKNOWN,Desconocido,pan,True,sin_categoria,pan,750.0,750.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/615.txt,dataset/paginas_descargadas/615.html
1406,+595994 874276,Selecciona método de entrega,580 GR,UNKNOWN,Desconocido,pan,True,sin_categoria,pan,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1406.txt,dataset/paginas_descargadas/1406.html
1410,+595994 874276,Selecciona método de entrega,700 GR,UNKNOWN,Desconocido,pan,True,sin_categoria,pan,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1410.txt,dataset/paginas_descargadas/1410.html
1415,+595994 874276,Selecciona método de entrega,400 GR,UNKNOWN,Desconocido,cafe,True,sin_categoria,cafe,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1415.txt,dataset/paginas_descargadas/1415.html
